date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:50:13	761/761	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2030%20Oct%202022%2007:20:12%20GMT	http://dtcpass.delhi.gov.in/robots.txt		(from )
12:50:19	172585/-1	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2007:20:12%20GMT	http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/viewEPass2ddf.html	(from )
12:50:25	15919/15919	---M--	200	added ('OK')	text/css	etag:W/%2215919-1542301202000%22	http://dtcpass.delhi.gov.in/js/paging/paging.css	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/js/paging/paging.css	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:26	959344/959344	---M--	200	added ('OK')	text/css	etag:W/%22959344-1646894696000%22	http://dtcpass.delhi.gov.in/css/style.css	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/css/style.css	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:40	130696/130696	---M--	200	added ('OK')	image/png	etag:W/%22130696-1513068500000%22	http://dtcpass.delhi.gov.in/images/DTC1.png	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/images/DTC1.png	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:41	77498/77498	---M--	200	added ('OK')	application/javascript	etag:W/%2277498-1535705536000%22	http://dtcpass.delhi.gov.in/js/paging/jquery.dataTables.min.js	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/js/paging/jquery.dataTables.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:41	95786/95786	---M--	200	added ('OK')	application/javascript	etag:W/%2295786-1493210464000%22	http://dtcpass.delhi.gov.in/js/paging/jquery-1.11.1.min.js	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/js/paging/jquery-1.11.1.min.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:41	9127/9127	---M--	200	added ('OK')	image/jpeg	etag:W/%229127-1601269346000%22	http://dtcpass.delhi.gov.in/images/Dtc.jpeg	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/images/Dtc.jpg	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:45	107453/-1	---M--	200	added ('OK')	text/html	date:Sun,%2030%20Oct%202022%2007:20:27%20GMT	http://dtcpass.delhi.gov.in/home.jsp	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/home.html	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:45	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220127-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:50:49	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2220127-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regulard41d.eot?	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regulard41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:50:49	18028/18028	---M--	200	added ('OK')	font/woff2	etag:W/%2218028-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff2	(from http://dtcpass.delhi.gov.in/css/style.css)
12:50:50	58144/58144	---M--	200	added ('OK')	application/javascript	etag:W/%2258144-1536662174000%22	http://dtcpass.delhi.gov.in/js/script.js	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/js/script.js	(from http://dtcpass.delhi.gov.in/viewEPass?passno=7502102238098)
12:50:52	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:W/%22108738-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
12:50:53	23424/23424	---M--	200	added ('OK')	font/woff	etag:W/%2223424-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
12:50:58	45404/45404	---M--	200	added ('OK')	font/ttf	etag:W/%2245404-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/glyphicons-halflings-regular.ttf	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:04	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2270807-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.eot?v=4.5.0	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:05	70807/70807	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2270807-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfontd41d.eot?	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/fontawesome-webfontd41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:09	66624/66624	---M--	200	added ('OK')	font/woff2	etag:W/%2266624-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.woff2?v=4.5.0	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.woff2	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:17	365616/365616	---M--	200	added ('OK')	image/svg+xml	etag:W/%22365616-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.svg?v=4.5.0	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.svg	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:23	83588/83588	---M--	200	added ('OK')	font/woff	etag:W/%2283588-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/fontawesome-webfont3295.woff?v=4.5.0	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/fontawesome-webfont32953295.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:24	42248/42248	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2242248-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.eot	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/Flaticon.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:28	20168/20168	---M--	200	added ('OK')	font/woff	etag:W/%2220168-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticon.woff	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/Flaticon.woff	(from http://dtcpass.delhi.gov.in/css/style.css)
12:51:30	42248/42248	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%2242248-1516858082000%22	http://dtcpass.delhi.gov.in/fonts/Flaticond41d.eot?	C:/My%20Web%20Sites/new%20website/dtcpass.delhi.gov.in/fonts/Flaticond41dd41d.eot	(from http://dtcpass.delhi.gov.in/css/style.css)
